age,initial_rate
16,0.014
17,0.014
18,0.014
19,0.014
20,0.014
21,0.014
22,0.014
23,0.014
24,0.014
25,0.014
26,0.014
27,0.014
28,0.014
29,0.014
30,0.014
31,0.014
32,0.014
33,0.014
34,0.014
35,0.014
36,0.014
37,0.014
38,0.014
39,0.014
40,0.014
41,0.014
42,0.014
43,0.014
44,0.014
45,0.014
46,0.014
47,0.014
48,0.014
49,0.014
50,0.014
51,0.014
52,0.014
53,0.014
54,0.014
55,0.014
56,0.014
57,0.014
58,0.014
59,0.014
60,0.014
61,0.01368
62,0.01336
63,0.01304
64,0.01272
65,0.0124
66,0.01208
67,0.01176
68,0.01144
69,0.01112
70,0.0108
71,0.01048
72,0.01016
73,0.00984
74,0.00952
75,0.0092
76,0.00888
77,0.00856
78,0.00824
79,0.00792
80,0.0076
81,0.00728
82,0.00696
83,0.00664
84,0.00632
85,0.006
86,0.00584
87,0.00568
88,0.00552
89,0.00536
90,0.0052
91,0.00504
92,0.00488
93,0.00472
94,0.00456
95,0.0044
96,0.00424
97,0.00408
98,0.004
99,0.004
100,0.004
101,0.004
102,0.004
103,0.004
104,0.004
105,0.004
106,0.004
107,0.004
108,0.004
109,0.004
110,0.004
111,0.004
112,0.004
113,0.004
114,0.004
115,0.004
116,0.004
117,0.004
118,0.004
119,0.004
120,0.004
