age,qx
16,0.000237
17,0.00024
18,0.000242
19,0.000245
20,0.000248
21,0.000251
22,0.000255
23,0.00026
24,0.000265
25,0.00027
26,0.000276
27,0.000283
28,0.000291
29,0.0003
30,0.00031
31,0.000321
32,0.000334
33,0.000348
34,0.000364
35,0.000381
36,0.000401
37,0.000424
38,0.000449
39,0.000478
40,0.00051
41,0.000546
42,0.000586
43,0.000631
44,0.000682
45,0.00074
46,0.000804
47,0.000876
48,0.000958
49,0.001049
50,0.001152
51,0.001267
52,0.001397
53,0.001543
54,0.001707
55,0.001891
56,0.002098
57,0.002331
58,0.002592
59,0.002886
60,0.003216
61,0.003587
62,0.004004
63,0.004472
64,0.004998
65,0.005589
66,0.006253
67,0.006998
68,0.007836
69,0.008776
70,0.009832
71,0.011017
72,0.012348
73,0.013842
74,0.015518
75,0.017398
76,0.019508
77,0.021873
78,0.024526
79,0.027498
80,0.030828
81,0.034558
82,0.038733
83,0.043404
84,0.048627
85,0.054464
86,0.060981
87,0.068254
88,0.076361
89,0.085389
90,0.095431
91,0.106587
92,0.118962
93,0.132667
94,0.147817
95,0.16453
96,0.182925
97,0.203117
98,0.225219
99,0.24933
100,0.275536
101,0.303901
102,0.334461
103,0.367211
104,0.402102
105,0.439028
106,0.477819
107,0.518226
108,0.559924
109,0.6025
110,0.645459
111,0.688228
112,0.730174
113,0.770623
114,0.808896
115,0.844346
116,0.876405
117,0.904628
118,0.928734
119,0.948637
120,0.964455
