# effective_date: 2024-07-01
# source_ref: PRA PS10/24
rating,seniority,tenor_lower,tenor_upper,long_run_pd_pct,lgd_pct,downgrade_allowance_bps,fs_bps
AAA,senior_secured,0,5,0.01,30,2,2
AAA,senior_secured,5,10,0.01,30,4,4
AAA,senior_secured,10,15,0.01,30,6,6
AAA,senior_secured,15,100,0.01,30,8,8
AAA,senior_unsecured,0,5,0.01,40,2,3
AAA,senior_unsecured,5,10,0.01,40,4,5
AAA,senior_unsecured,10,15,0.01,40,6,7
AAA,senior_unsecured,15,100,0.01,40,8,9
AA,senior_secured,0,5,0.02,30,4,5
AA,senior_secured,5,10,0.02,30,7,8
AA,senior_secured,10,15,0.02,30,10,11
AA,senior_secured,15,100,0.02,30,13,14
AA,senior_unsecured,0,5,0.02,40,4,5
AA,senior_unsecured,5,10,0.02,40,7,8
AA,senior_unsecured,10,15,0.02,40,10,11
AA,senior_unsecured,15,100,0.02,40,13,14
A,senior_secured,0,5,0.05,30,8,10
A,senior_secured,5,10,0.05,30,12,14
A,senior_secured,10,15,0.05,30,16,18
A,senior_secured,15,100,0.05,30,20,22
A,senior_unsecured,0,5,0.05,40,8,10
A,senior_unsecured,5,10,0.05,40,12,14
A,senior_unsecured,10,15,0.05,40,16,18
A,senior_unsecured,15,100,0.05,40,20,22
BBB+,senior_secured,0,5,0.12,30,15,19
BBB+,senior_secured,5,10,0.12,30,20,24
BBB+,senior_secured,10,15,0.12,30,25,29
BBB+,senior_secured,15,100,0.12,30,30,34
BBB+,senior_unsecured,0,5,0.12,40,15,20
BBB+,senior_unsecured,5,10,0.12,40,20,25
BBB+,senior_unsecured,10,15,0.12,40,25,30
BBB+,senior_unsecured,15,100,0.12,40,30,35
BBB+,subordinated,0,5,0.12,75,20,29
BBB+,subordinated,5,10,0.12,75,25,34
BBB+,subordinated,10,15,0.12,75,30,39
BBB+,subordinated,15,100,0.12,75,35,44
BBB,senior_secured,0,5,0.17,30,18,23
BBB,senior_secured,5,10,0.17,30,24,29
BBB,senior_secured,10,15,0.17,30,30,35
BBB,senior_secured,15,100,0.17,30,36,41
BBB,senior_unsecured,0,5,0.17,40,18,25
BBB,senior_unsecured,5,10,0.17,40,24,31
BBB,senior_unsecured,10,15,0.17,40,30,37
BBB,senior_unsecured,15,100,0.17,40,36,43
BBB,subordinated,0,5,0.17,75,26,39
BBB,subordinated,5,10,0.17,75,33,46
BBB,subordinated,10,15,0.17,75,40,53
BBB,subordinated,15,100,0.17,75,47,60
BBB-,senior_secured,0,5,0.24,30,22,29
BBB-,senior_secured,5,10,0.24,30,29,36
BBB-,senior_secured,10,15,0.24,30,36,43
BBB-,senior_secured,15,100,0.24,30,43,50
BBB-,senior_unsecured,0,5,0.24,40,22,32
BBB-,senior_unsecured,5,10,0.24,40,29,39
BBB-,senior_unsecured,10,15,0.24,40,36,46
BBB-,senior_unsecured,15,100,0.24,40,43,53
BBB-,subordinated,0,5,0.24,75,32,50
BBB-,subordinated,5,10,0.24,75,40,58
BBB-,subordinated,10,15,0.24,75,48,66
BBB-,subordinated,15,100,0.24,75,56,74
BB,senior_unsecured,0,5,0.80,40,40,72
BB,senior_unsecured,5,10,0.80,40,55,87
BB,senior_unsecured,10,15,0.80,40,70,102
BB,senior_unsecured,15,100,0.80,40,85,117
